NAZWA,KATEGORIA
Rodzina Zdrowia Carbon One Kapsułki kaps. - 20 kaps.,Biegunka-probiotyki
Rodzina Zdrowia Carbon One Tabletki tabl. - 20 tabl.,Biegunka-probiotyki
Smecta prosz.do sp.zaw.doust. 3 g 30 sasz.,Biegunka-probiotyki
Smecta prosz.do sporz.zaw.doust. 3 g 10 sasz.,Biegunka-probiotyki
Smecta prosz.do sporz.zaw.doust. 3 g 10 sasz.,Biegunka-probiotyki
Smecta prosz.do sporz.zaw.doust. 3 g 10 sasz.,Biegunka-probiotyki
Smecta prosz.do sporz.zaw.doust. 3 g 10 sasz.,Biegunka-probiotyki
Smecta prosz.do sporz.zaw.doust. 3 g 10 sasz.,Biegunka-probiotyki
Smecta prosz.do sporz.zaw.doust. 3 g 10 sasz.,Biegunka-probiotyki
Smecta prosz.do sporz.zaw.doust. 3 g 10 sasz.,Biegunka-probiotyki
Smecta prosz.do sporz.zaw.doust. 3 g 30 sasz.,Biegunka-probiotyki
Smecta prosz.do sporz.zaw.doust. 3 g 30 sasz.,Biegunka-probiotyki
Smecta prosz.do sporz.zaw.doust. 3 g 30 sasz.,Biegunka-probiotyki
Smecta prosz.do sporz.zaw.doust. 3 g 30 sasz.,Biegunka-probiotyki
Smecta prosz.do sporz.zaw.doust. 3 g 30 sasz.,Biegunka-probiotyki
Smecta prosz.do sporz.zaw.doust. 3 g 30 sasz.,Biegunka-probiotyki
Smecta prosz.do sporz.zaw.doust. 3 g 30 sasz.,Biegunka-probiotyki
"Smecta prosz.do sporz.zaw.doust. 3,76 g 10 sasz.",Biegunka-probiotyki
SmectaGo prosz.do sporz.zaw.doust. - 12 sasz.,Biegunka-probiotyki
SmectaGo zaw.doust. - 12 sasz.,Biegunka-probiotyki
SmectaGo zaw.doust. - 8 sasz.,Biegunka-probiotyki
Stoperan kaps.twarde 2 mg 18 kaps.,Biegunka-probiotyki
Stoperan kaps.twarde 2 mg 8 kaps. (blist.),Biegunka-probiotyki
Stoperan Plus tabl. 2mg+125mg 6 tabl.,Biegunka-probiotyki
Taninal tabl. 500 mg 20 tabl.,Biegunka-probiotyki
Tasectan kaps. 500 mg 15 kaps.,Biegunka-probiotyki
Tasectan kaps. 500 mg 15 kaps.,Biegunka-probiotyki
Tasectan Proszek d/stos.u dzieci saszet. 250 mg 20 sasz.,Biegunka-probiotyki
Tasectan saszet. 250 mg 20 sasz.,Biegunka-probiotyki
Tiorfan kaps.twarde 100 mg 10 kaps.,Biegunka-probiotyki
Węgiel Activ tabl. 150 mg 10 tabl.,Biegunka-probiotyki
Węgiel aktywny Cephamed kaps. - 30 kaps.,Biegunka-probiotyki
Węgiel aktywny kaps. 150 mg 10 kaps.,Biegunka-probiotyki
Węgiel aktywny kaps. 150 mg 30 kaps. (2x15),Biegunka-probiotyki
Węgiel aktywowany - - 20 kaps.,Biegunka-probiotyki
Węgiel aktywowany carbon kaps. - 20 kaps.,Biegunka-probiotyki
Węgiel aktywowany complex kaps.twarde - 20 kaps.,Biegunka-probiotyki
Węgiel aktywowany kaps. - 12 op. po 30 kaps.,Biegunka-probiotyki
Węgiel Aktywowany kaps. - 30 kaps.,Biegunka-probiotyki
Węgiel Aktywowany Plus kaps. - 20 kaps. (but. HDPE),Biegunka-probiotyki
Węgiel Aktywowany prosz. - 100 g,Biegunka-probiotyki
Węgiel aktywowany tabl. - 30 tabl.,Biegunka-probiotyki
Węgiel aktywowany Zyskaj Zdrowie kaps.twarde - 30 kaps.,Biegunka-probiotyki
Węgiel kaps. - 30 kaps.,Biegunka-probiotyki
Węgiel leczniczy ICN kaps. 200 mg 20 kaps. (blist.),Biegunka-probiotyki
Węgiel leczniczy Microfarm kaps.twarde 200 mg 20 kaps.,Biegunka-probiotyki
Węgiel leczniczy Norit kaps.twarde 200 mg 15 kaps. (blist.),Biegunka-probiotyki
Węgiel leczniczy Norit kaps.twarde 200 mg 30 kaps. (2x15),Biegunka-probiotyki
Węgiel leczniczy VP kaps. 200 mg 20 kaps. (2 blist. po 10 kaps.),Biegunka-probiotyki
Węgiel Plus Syrop - - 120 ml,Biegunka-probiotyki
4Flex PureGel żel 100 mg/g 100 g,"Ból maść, plaster, żel - ból tabletki, czopki"
A-ALPINOL Płyn kasztan.pielęgn.d/skóry - - 100 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
A-ALPINOL Płyn pielęgn.d/skóry - - 100 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
ACERIN COOL RELAX chłodzący żel na opuchnięte i zmęczone nogi - - 150 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Acerin Cool Relax Żel chłodząco-relaksuj. - - 75 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
ActivePlast Thermal Plaster rozgrzewający z arniką i czarcim pazurem - - 1 szt.,"Ból maść, plaster, żel - ból tabletki, czopki"
ACTIVPLAST COLD Plaster chłodzący - - 1 szt.,"Ból maść, plaster, żel - ból tabletki, czopki"
ACTIVPLAST COLD Plaster chłodzący - - 20 szt.,"Ból maść, plaster, żel - ból tabletki, czopki"
ACTIVPLAST TERMO Plaster rozgrzewający - - 10 szt.,"Ból maść, plaster, żel - ból tabletki, czopki"
ACTIVPLAST TERMO Plaster rozgrzewający okład - 1 szt.,"Ból maść, plaster, żel - ból tabletki, czopki"
Actiżel - - 75 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
"Actiżel saszet. - 7,5 g","Ból maść, plaster, żel - ból tabletki, czopki"
Aktywny Żel glukozamina Optimal - - 200 ml (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
ALPA Francówka Konopie roztw. - 160 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
ALPA Francówka płyn - 160 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
ALPA Francówka płyn - 60 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Alpa Leśna płyn - 160 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Alpa Leśna płyn - 60 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
ALPENBALM Balsam z sadła świstaka maść - 60 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Alpenbalm Termoterapia balsam - 60 g,"Ból maść, plaster, żel - ból tabletki, czopki"
ALPENKRAUTER Balsam ziołowy - - 270 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
ALPINE HERBS Żel żywokostowy - - 60 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Alta Medic kwaśna woda - żel - - 100 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Altac-Emo żel 10 mg/g 75 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Altacet ICE aer.na skór. - 130 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Altacet tabl. 1 g 6 tabl. (1 blist. po 6 tabl.),"Ból maść, plaster, żel - ból tabletki, czopki"
Altacet żel 10 mg/g 75 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
ALTAGEL Żel - - 125 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Altaminium APTEO z nagietkiem żel - 75 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Altaziaja żel 10 mg/g 75 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Altażel Oceanic żel 10 mg/g 75 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
ALTER HEIDESCHAFER Maść z arniką - - 250 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
ANIDA ACERIN Cool Fresh Spray chłodzn/zmęcz.opuch.nogi spray - 150 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Arcalen maść - 30 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Argol Rheuma maść rozgrzewająca maść - 40 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Arnica Fast Żel - - 50 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Arnigel żel - 45 g (tub. aluminiowa),"Ból maść, plaster, żel - ból tabletki, czopki"
Arnigel żel - 45 g (tub. z aplik. roll-on),"Ból maść, plaster, żel - ból tabletki, czopki"
Arnithei żel 24 g/100g 100 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Arnithei żel 24 g/100g 50 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Aroma-Activ maść - 30 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Arthemisan J11 krem - 150 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Arthemisan J11 krem - 50 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Arthrostop Ochronny do masażu żel - 100 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Artresan Active Krem pielęgn.-ochronny - - 75 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Artresan Comfort Krem Zmniejsza dyskomfort mięśn.-szkielet.stawów - - 75 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Artresan Kapsaicyna Maść w sztyfcie - - 25 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
ARTROBAZA SOS Żel chłodzący - - 40 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Artrożel - - 100 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
ASTRON Olej żywokostowy z gojnikiem 100ml,"Ból maść, plaster, żel - ból tabletki, czopki"
AulinDol żel 30 mg/g 100 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
AulinDol żel 30 mg/g 50 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
"Bals Sulphur żel żel 96,5 g/100g 300 g","Ból maść, plaster, żel - ból tabletki, czopki"
Balsam Koński rozgrzewający - - 500 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Balsam Kręgowy Ojca Grzegorza zioł. - - 100 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Balsam Papaveri maść - 250 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
"Balsam Świątynia Niebios - - 3,5 g","Ból maść, plaster, żel - ból tabletki, czopki"
Balsam Świątynia Niebios maść - 19 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Balsam z arniki d/piel.skóry - - 250 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Balsam z czosnkiem niedźwiedzim - - 200 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Balsam z Sadła Świstaka - - 50 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Balsam z Sadła Świstaka Alpenbalm - - 60 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Balsam z Sadła Świstaka Alpenbalm Termoterapia - - 60 g,"Ból maść, plaster, żel - ból tabletki, czopki"
BALSAM Z WYCIĄGIEM Z KASZTANOWCA I LIŚCI CZERW.WINOGR.HERBAMEDICUS - - 250 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Balsam z wyciągiem z korzenia diabelskiego pazura - - 250 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Balsamum Mentholi Compositum maść (200mg+25mg)/g 30 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Bengay Maść Przeciwbólowa - (150mg+100mg)/g 50 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Biofreeze Żel - - 1 tub.,"Ból maść, plaster, żel - ból tabletki, czopki"
BIOFROST RELIEF żel - 100 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
BIOMAŚĆ ARNIKA maść - 50 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
BIOMAŚĆ CZARCI PAZUR - - 50 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
BIOMAŚĆ NAGIETEK maść - 50 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
BISZOLIN Balsam mineralny z biszofitem - - 100 g,"Ból maść, plaster, żel - ból tabletki, czopki"
BISZOLIN Balsam mineralny z biszofitem - - 190 g,"Ból maść, plaster, żel - ból tabletki, czopki"
BOIRON ARNICREME krem - 70 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Borowinowa kostka iwonicka okład - 1 kg,"Ból maść, plaster, żel - ból tabletki, czopki"
BORSUCZA MAŚĆ Szwajcarska Herbamedicus - - 125 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
BORSUCZA MAŚĆ Szwajcarska maść - 50 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
BROMEDIN SUPER HOT Maść rozgrzewająca - - 250 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Capsagamma krem 53 mg/100g 40 g,"Ból maść, plaster, żel - ból tabletki, czopki"
CAPSIDIUM Żel z kapsaicyną - - 50 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Capsigel N emul.na skór. - 40 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Cephamed Plaster rozgrzewający 9 cm x 14 cm Display plast. - 50 szt.,"Ból maść, plaster, żel - ból tabletki, czopki"
Cephamed Plaster rozgrzewający 9 cm x14 cm plast. - 1 szt.,"Ból maść, plaster, żel - ból tabletki, czopki"
Chłodząca Maść Końska Optimal - - 250 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Ciechocinski Ług Leczniczy roztw. - 500 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
CZARCI PAZUR Maść - - 150 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
CZARCI PAZUR z rutyną i ziołami balsam - 250 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Czarci pazur Żel - - 200 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Czarci Pazur Żel - - 250 g,"Ból maść, plaster, żel - ból tabletki, czopki"
CZARCI PAZUR Żel aktywny - - 150 g,"Ból maść, plaster, żel - ból tabletki, czopki"
CZARCI PAZUR Żel aktywny - - 350 g,"Ból maść, plaster, żel - ból tabletki, czopki"
CZARCI PAZUR Żel aktywny FARM-VIX - - 250 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Czarci Pazur żel do ciała - - 250 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Czarci Pazur żel do ciała - - 250 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Czarci Pazur Żel z żywokostem i MSM - - 350 g,"Ból maść, plaster, żel - ból tabletki, czopki"
CZARCI PAZUR Żel z żywokostem i MSM FARM-VIX - - 250 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
CZARCI PLASTER Rozgrzewający Plaster z kapsaicyną - - 1 szt.,"Ból maść, plaster, żel - ból tabletki, czopki"
CZARCI PLASTER Rozgrzewający Plaster z kapsaicyną - - 50 szt.,"Ból maść, plaster, żel - ból tabletki, czopki"
DERMENTOL Żel chłodzący - - 150 g,"Ból maść, plaster, żel - ból tabletki, czopki"
DIABELSKI (CZARCI) PAZUR Balsam - - 200 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Diabelski Pazur z alantoiną 250 ml 1+1 Linia Natury Sewmed - - 1 zest.,"Ból maść, plaster, żel - ból tabletki, czopki"
"Diclac Lipogel żel 0,01 g/g 100 g","Ból maść, plaster, żel - ból tabletki, czopki"
Diclac Lipogel żel 10 mg/g 100 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Diclac Lipogel żel 10 mg/g 100 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Diclac Lipogel żel 10 mg/g 50 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Diclac Lipogel żel 10 mg/g 50 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Diclofenac APTEO MED żel 10 mg/g 100 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Diclofenac APTEO MED żel 10 mg/g 60 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Diclofenac Teva (Dicloratio gel) żel 10 mg/g 100 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Diclofenacum Fastum żel 10 mg/g 100 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Diclofenacum Fastum żel 10 mg/g 50 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Diclogel żel 10 mg/g 100 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Diclotica thermal uniwersalny Plaster rozgrzewający rozmiar L 12x18cm - - 50 szt. (karton),"Ból maść, plaster, żel - ból tabletki, czopki"
Diclotica Thermal Uniwersalny Plaster rozgrzewający rozmiar M 10x14cm - - 50 szt. (karton),"Ból maść, plaster, żel - ból tabletki, czopki"
Diclotica żel 10 mg/g 100 g,"Ból maść, plaster, żel - ból tabletki, czopki"
"Dicloziaja żel 0,01 g/g 100 g (tuba)","Ból maść, plaster, żel - ból tabletki, czopki"
"Dicloziaja żel 0,01 g/g 50 g (tuba)","Ból maść, plaster, żel - ból tabletki, czopki"
"Dicloziaja żel 11,6 mg/g 100 g (tub.)","Ból maść, plaster, żel - ból tabletki, czopki"
"Dicloziaja żel 11,6 mg/g 50 g (tub.)","Ból maść, plaster, żel - ból tabletki, czopki"
Difortan żel 100 mg/g 1 tub. po 50 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Difortan żel 100 mg/g 100 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Diklofenak Omega Pharma (Diklofenak LGO) żel 10 mg/g 100 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Diklofenak Omega Pharma (Diklofenak LGO) żel 10 mg/g 50 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
DIKY 4% płyn do natrys.na skór. 40 mg/g 30 ml (but.),"Ból maść, plaster, żel - ból tabletki, czopki"
"Dip Hot Rozgrzewający krem (128mg+59,1mg+19,7mg 67 g","Ból maść, plaster, żel - ból tabletki, czopki"
Dip Rilif żel (50mg+30mg)/g 100 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Dip Rilif żel (50mg+30mg)/g 50 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Dolgit Gel żel 50 mg/g 50 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Dolgit krem 50 mg/g 100 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Dolgit krem 50 mg/g 50 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Dolgit plaster rozgrzewający plast. - 1 plast.,"Ból maść, plaster, żel - ból tabletki, czopki"
Dolgit plastry rozgrzewające - - 10 plast.,"Ból maść, plaster, żel - ból tabletki, czopki"
"Elmetacin aer.do stos.zewn., roztw. 0,01 g/g 100 ml (butelka)","Ból maść, plaster, żel - ból tabletki, czopki"
"Elmetacin aer.do stos.zewn., roztw. 0,01 g/g 100 ml (butelka)","Ból maść, plaster, żel - ból tabletki, czopki"
"Elmetacin aer.do stos.zewn., roztw. 0,01 g/g 100 ml (butelka)","Ból maść, plaster, żel - ból tabletki, czopki"
"Elmetacin aer.do stos.zewn., roztw. 0,01 g/g 100 ml (butelka)","Ból maść, plaster, żel - ból tabletki, czopki"
"Elmetacin aer.do stos.zewn., roztw. 10 mg/g 100 ml","Ból maść, plaster, żel - ból tabletki, czopki"
"Elmetacin aer.do stos.zewn., roztw. 10 mg/g 100 ml (but.)","Ból maść, plaster, żel - ból tabletki, czopki"
"Elmetacin aer.do stos.zewn., roztw. 10 mg/g 50 ml","Ból maść, plaster, żel - ból tabletki, czopki"
"Elmetacin aer.na skór., roztw. 10 mg/g 100 ml","Ból maść, plaster, żel - ból tabletki, czopki"
"Elmetacin aer.na skór., roztw. 10 mg/g 100 ml","Ból maść, plaster, żel - ból tabletki, czopki"
"Elmetacin aer.na skór., roztw. 10 mg/g 100 ml (but.)","Ból maść, plaster, żel - ból tabletki, czopki"
EMO LIOVEN Żel d/zmęcz/opuch.nóg - - 50 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
EQUILIBRA Żel uspokajający z diabelskim pazurem 100ml - - 100 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Etodal żel 100 mg/g 100 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Etodal żel 100 mg/g 50 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Extra Strong Balsam 1+1 rozgrzewający - - 40 g (2 op.),"Ból maść, plaster, żel - ból tabletki, czopki"
Extra Strong Balsam rozgrzewający Bezzapachowy - - 40 ml (tub. karton),"Ból maść, plaster, żel - ból tabletki, czopki"
Extra Strong Junior Żel - - 40 ml (tuba w kartoniku),"Ból maść, plaster, żel - ból tabletki, czopki"
EXTRASTRONG Bals. d/turyst. - - 2 szt.a 40g,"Ból maść, plaster, żel - ból tabletki, czopki"
EXTRASTRONG Bals. rozgrzewający - - 40 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
EXTRASTRONG Bals. Zestaw rozgrzew. X2 drugiI-50% zest. - 40 g (2 op.),"Ból maść, plaster, żel - ból tabletki, czopki"
EXTRASTRONG Balsam d/turyst.i sport. - - 40 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
FARMONA NIVELAZIONE Chłodzący spray n/zmęczone nogi i piekące stopy aer.na skór. - 150 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Farmvit Olej żywokostowy z gojnikiem 100ml,"Ból maść, plaster, żel - ból tabletki, czopki"
FASTPLAST Plaster rozgrzewający plast.leczn. - 50 szt.,"Ból maść, plaster, żel - ból tabletki, czopki"
FASTULG HOT Gel rozgrzew.na bazie ziół - - 250 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
FASTULG ICE Gel chłodzący na bazie ziół - - 250 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
FASTULG Żel chłodzący na bazie ziół - - 250 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
FASTULG Żel rozgrzew.na bazie ziół - - 250 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Fastum Junior emulsja żelowa - - 50 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Felogel NEO żel 10 mg/g 60 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
FertilMate Plast. chłodzące na mosznę - - 8 szt.,"Ból maść, plaster, żel - ból tabletki, czopki"
Fixaplast Warm - - 24 szt.,"Ból maść, plaster, żel - ból tabletki, czopki"
Fixaplast Warm Plaster rozgrzewający - - 1 szt.,"Ból maść, plaster, żel - ból tabletki, czopki"
Flexiseq żel - - 50 g,"Ból maść, plaster, żel - ból tabletki, czopki"
FLOS-LEK ARNICA ACTIVE Żel chłodzący - - 200 ml (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
FLOS-LEK ARNICA ACTIVE Żel rozgrzewający - - 200 ml (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
"FLOS-LEK ARNICA ŻEL Z ARNIKĄ FORTE NA ROZSZERZONE NACZYNKA, ZASINIENIA, OBRZMIENIA, PODPUCHNIĘCIA - - 50 ml","Ból maść, plaster, żel - ból tabletki, czopki"
"FLOS-LEK ARNICA Żel z arniką na rozszerzone naczynka, sińce, potłuczenia, obrzmienia - - 200 ml","Ból maść, plaster, żel - ból tabletki, czopki"
"FLOS-LEK Żel arnikowy na sińce, potłuczenia, obrzmienia - - 50 ml","Ból maść, plaster, żel - ból tabletki, czopki"
FLOS-LEK Żel z żywokostem - - 50 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
FLOS-LEK Żel z żywokostem do sk.suchej - - 200 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
GEHWOL FRISCHE Balsam odśw./chłodz.d/stóp - - 75 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
GEHWOL WAERME Bals. rozgrzewający - - 75 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
GLUKOZ-IMBIR Krem-żel d/masażu - - 70 g,"Ból maść, plaster, żel - ból tabletki, czopki"
HANSAPLAST ABC Salbe maść - 50 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Heltiso Care Maść końska chłodząca - - 350 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Heltiso Care Maść końska rozgrzewająca - - 350 g,"Ból maść, plaster, żel - ból tabletki, czopki"
HERBAMEDICUS Balsam niedźwiedzi - - 250 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
HERBAMEDICUS Krem z glukozaminą - - 250 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
HIMALAYA Bals. kojący PAIN BALM - - 50 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
HIMALAYA Rumalaya Żel kojący - - 2 op. po 30 g,"Ból maść, plaster, żel - ból tabletki, czopki"
HIPPOCASTANUM Bioemuls. końska z kasztan.rozgrzew. - - 500 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Hot & Calm Krem uspokaja i koi zmysły - - 50 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Hotlec maść (100mg+10mg+5mg+5mg) 30 g (tub. karton),"Ból maść, plaster, żel - ból tabletki, czopki"
Ibalgin Sport krem (50mg+200j.m.)/g 50 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Ibum żel (50mg+30mg)/g 100 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Ibum żel (50mg+30mg)/g 50 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Ibument żel (50mg+30mg)/g 1 tub. po 50 g,"Ból maść, plaster, żel - ból tabletki, czopki"
Ibument żel (50mg+30mg)/g 100 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
"Ibuprom Sport spray aer.na skór., roztw. 50 mg/g 1 poj. po 50 g","Ból maść, plaster, żel - ból tabletki, czopki"
Ibuprom Sport żel (Ibuprom Effect żel) - 50 mg/g 100 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Ibuprom Sport żel (Ibuprom Effect żel) - 50 mg/g 60 g (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
ICE chłodzący Plaster hydrożelowy (APAP ICE Plaster chłodzący żelowy) - - 12 sasz.a 2szt.,"Ból maść, plaster, żel - ból tabletki, czopki"
ICE Chłodzący Plaster Hydrożelowy rekomendowany przez APAP - - 2 plast.,"Ból maść, plaster, żel - ból tabletki, czopki"
ICE POWER chłodzący p/bólowy żel - 75 ml (tub.),"Ból maść, plaster, żel - ból tabletki, czopki"
Itami (Diclodermex) plast.leczn. 140 mg 10 plast.,"Ból maść, plaster, żel - ból tabletki, czopki"
Itami (Diclodermex) plast.leczn. 140 mg 2 plast.,"Ból maść, plaster, żel - ból tabletki, czopki"
Itami (Diclodermex) plast.leczn. 140 mg 5 plast.,"Ból maść, plaster, żel - ból tabletki, czopki"
JARDIN MED Czarci pazur regenerująco-łagodzący forte balsam - 200 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
JARDIN MED Żel koński z chili intens.rozgrzewający forte - - 200 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
JARDIN NATUREL Balsam Czarci Pazur - - 500 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
JARDIN NATUREL Balsam Czarci Pazur n/bolące mięśn. - - 500 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
JARDIN NATUREL Balsam Koński-Krem - - 500 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
JARDIN NATUREL Balsam Koński-Żel - - 500 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
JARDIN NATUREL Żel Koński - - 500 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
JARDIN NATUREL Żel Koński z ekstr.z chili - - 500 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
JARDIN NATUREL Żel Koński z ekstr.z echinacea - - 500 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
JARDIN NATUREL Żel Niedźwiedzi ciepło i siła - - 500 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Kapsiplast 10cm x 15cm plast.leczn. - 50 szt.,"Ból maść, plaster, żel - ból tabletki, czopki"
Karpal Akut maść - 50 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
Kolagen Żel ultra - - 200 ml,"Ból maść, plaster, żel - ból tabletki, czopki"
